rank,zone_id,n_cells,lat,lon,total_events,pred_daily_viol,mean_impact_per_viol,dom_police_station,epi_raw,zone_EPI
244,240,1,12.956241112138196,77.73151976832196,25,0.14,0.619,Whitefield,0.08666,1.5
245,386,1,13.08346757586207,77.63826041724137,29,0.14,0.612,Hennuru,0.08568,1.5
246,228,1,12.949263778723406,77.57685718085106,47,0.15,0.571,V.V.Puram (C.Pet),0.08564999999999999,1.5
247,159,1,12.9047885275,77.5856989225,40,0.08,1.059,J.P. Nagar,0.08472,1.5
248,367,1,13.05382274819277,77.59281933493976,83,0.15,0.562,Kodigehalli,0.0843,1.5
249,210,1,12.9374211475,77.60182313499999,40,0.14,0.592,Adugodi,0.08288000000000001,1.4
250,295,1,12.991532116216217,77.65196884189189,74,0.14,0.592,Banaswadi,0.08288000000000001,1.4
251,166,1,12.905939853571429,77.63856956428572,28,0.12,0.685,HSR Layout,0.08220000000000001,1.4
252,387,1,13.098532819230769,77.57360821923076,26,0.11,0.731,Yelahanka,0.08041,1.4
253,298,1,12.993275619047619,77.59585631904763,21,0.12,0.668,High ground,0.08016,1.4
254,266,1,12.979578784615386,77.58756561153847,26,0.09,0.889,Cubbon Park,0.08001,1.4
255,319,1,13.006989528205128,77.7572430897436,39,0.13,0.615,Mahadevapura,0.07995000000000001,1.4
256,168,1,12.907778088204878,77.67589746328737,28,0.13,0.598,Bellandur,0.07774,1.3
257,191,1,12.921409291666668,77.64510429583333,24,0.11,0.701,HSR Layout,0.07711,1.3
258,229,1,12.95107036,77.52152993666667,30,0.06,1.281,Byatarayanapura,0.07686,1.3
259,321,1,13.011033146153846,77.50649015,26,0.09,0.841,Peenya,0.07569,1.3
260,163,1,12.906409497297298,77.57353678108107,37,0.09,0.825,J.P. Nagar,0.07425,1.3
261,399,1,13.16133968095238,77.62652209047619,21,0.1,0.739,Chikkajala,0.07390000000000001,1.3
262,331,1,13.019176573913043,77.53952865217391,23,0.1,0.73,Rajajinagar,0.073,1.3
263,155,1,12.90159443809524,77.66050787619048,21,0.13,0.56,Bellandur,0.0728,1.3
264,138,1,12.875953262162163,77.61679000810811,37,0.14,0.518,Hulimavu,0.07252000000000002,1.3
265,42,3,12.946147754415284,77.5878492902182,115,0.21,0.344,Wilson Garden,0.07223999999999998,1.3
266,270,1,12.979357953846154,77.75130111153845,26,0.12,0.6,Whitefield,0.072,1.3
267,189,1,12.9196682,77.64517230384615,26,0.11,0.654,HSR Layout,0.07194,1.2
268,230,1,12.951692399999999,77.57689844000001,55,0.08,0.892,V.V.Puram (C.Pet),0.07136,1.2
269,360,1,13.048981049999998,77.54336718181818,22,0.1,0.71,Jalahalli,0.071,1.2
270,154,1,12.901362550000002,77.59367093823529,34,0.17,0.409,J.P. Nagar,0.06953,1.2
271,311,1,13.001934695302925,77.63245446676872,36,0.12,0.578,Banaswadi,0.06935999999999999,1.2
272,221,1,12.946758460000002,77.53154353,20,0.06,1.146,Byatarayanapura,0.06875999999999999,1.2
273,21,3,12.921679471028037,77.58075519158878,107,0.14,0.489,Jayanagara,0.06846000000000001,1.2
274,161,1,12.90442831050929,77.70224961603009,21,0.08,0.854,Bellandur,0.06832,1.2
275,157,1,12.90347888611111,77.64213762222222,36,0.06,1.102,HSR Layout,0.06612,1.2
276,300,1,12.993671868,77.717363084,25,0.11,0.601,Mahadevapura,0.06611,1.2
277,165,1,12.906302796296295,77.59162295925925,27,0.08,0.802,J.P. Nagar,0.06416000000000001,1.1
